,,/mix/band #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mute/band,00:00.000,00:00.000,00:00.000,auto-continue,,
,,/mute/choir,00:00.000,00:00.000,00:00.000,,,
E,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/audio/E_JukeboxButtonsLiftandPlaceRecord.wav,E_JukeboxButtonsLiftandPlaceRecord.wav,00:00.000,00:06.365,00:00.000,auto-continue,,
,,/unmute/band,00:00.000,00:00.000,00:00.000,auto-follow,,
,,/mix/band #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/audio/E_JukeboxScratches.wav,E_JukeboxScratches.wav,00:02.000,00:17.656,00:00.000,auto-continue,,
, E_JukeboxScratches.wav,fade E_JukeboxScratches.wav,00:00.000,00:03.000,00:00.000,auto-continue,,
, E_JukeboxScratches.wav,FADE OUT: Record plays with crackle,00:05.000,00:07.000,00:00.000,auto-continue,,
,,/eos/cue/17/fire,00:00.000,00:00.000,00:00.000,auto-continue,,
,,/eos/cue/17.1/fire,00:00.000,00:00.000,00:00.000,,,
,,/mix/fx #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mix/band #v#,00:00.000,00:00.500,00:00.000,auto-continue,,
,,/mute/ruben,00:00.000,00:00.000,00:00.000,auto-continue,,
,,/unmute/helen,00:00.000,00:00.000,00:00.000,auto-continue,,
,,/mix/helen #v#,00:00.000,00:00.500,00:00.000,,,
20,,Crossfade to Three thousand years may go by,00:00.000,00:01.000,00:00.000,,,
,,Three thousand years may go by,00:00.000,00:00.000,00:00.000,,,
, Three thousand years may go by,fade Three thousand years may go by,00:00.000,00:01.000,00:00.000,,,
21,,Crossfade to You may kiss other lips,00:00.000,00:01.000,00:00.000,,,
,,You may kiss other lips,00:00.000,00:00.000,00:00.000,,,
, Three thousand years may go by,fade and stop Three thousand years may go by,00:00.000,00:01.000,00:00.000,,,
, You may kiss other lips,fade You may kiss other lips,00:00.000,00:01.000,00:00.000,,,
22,,Crossfade to But I’ll never forget you,00:00.000,00:01.000,00:00.000,,,
,,But I’ll never forget you,00:00.000,00:00.000,00:00.000,,,
, You may kiss other lips,fade and stop You may kiss other lips,00:00.000,00:01.000,00:00.000,,,
, But I’ll never forget you,fade But I’ll never forget you,00:00.000,00:01.000,00:00.000,,,
23,,Crossfade to I may die tomorrow,00:00.000,00:01.000,00:00.000,,,
,,I may die tomorrow,00:00.000,00:00.000,00:00.000,,,
, But I’ll never forget you,fade and stop But I’ll never forget you,00:00.000,00:01.000,00:00.000,,,
, I may die tomorrow,fade I may die tomorrow,00:00.000,00:01.000,00:00.000,,,
24,,Crossfade to My soul may dry out,00:00.000,00:01.000,00:00.000,,,
,,My soul may dry out,00:00.000,00:00.000,00:00.000,,,
, I may die tomorrow,fade and stop I may die tomorrow,00:00.000,00:01.000,00:00.000,,,
, My soul may dry out,fade My soul may dry out,00:00.000,00:01.000,00:00.000,,,
25,,Crossfade to But I’ll never forget you,00:00.000,00:01.000,00:00.000,,,
,,But I’ll never forget you,00:00.000,00:00.000,00:00.000,,,
